# Densities Buffer Dump - 46875 elements
# Index,Value
450,17.49651
451,25.10742
452,25.11021
453,25.48026
454,24.79274
455,25.03463
456,24.98556
457,25.31102
458,9.642406
459,4.790603
460,0.03928097
461,0.04076799
462,14.13672
463,6.989743
464,9.724083
465,20.39294
466,13.0366
467,26.14956
468,26.15255
469,25.24101
470,24.12563
471,24.58773
472,22.9307
473,25.24157
474,25.54723
475,12.62553
476,7.126092
477,12.54264
478,18.65191
479,0.7335454
480,24.96069
481,25.25226
482,25.07392
483,25.18433
484,25.09746
485,25.22976
486,25.3677
487,25.27399
488,25.27255
489,24.93726
490,25.15096
491,25.20701
492,25.20695
493,25.27317
494,25.27365
495,0.3282873
496,1.37765
497,3.143523
498,1.502594
499,23.29264
500,16.3564
501,24.64508
502,19.2801
503,12.651
504,12.19627
505,12.45273
506,19.53165
507,19.44044
508,25.80311
509,20.32107
510,25.79917
511,26.40695
512,26.40564
513,22.28421
514,19.81342
515,19.81477
516,18.84519
517,17.31756
518,15.1892
519,15.53759
520,14.13935
521,0.4778083
522,0.3473169
523,0.6481462
524,25.09243
525,25.4894
526,24.99164
527,25.1337
528,25.29617
529,25.36334
530,25.27692
531,24.32543
532,25.44356
533,25.32063
534,25.31513
535,25.31512
536,24.94989
537,5.915392
538,4.67945
539,4.958701
540,0.5479757
541,0.4734086
542,25.77537
543,25.2535
544,25.45441
545,25.64746
546,25.64779
547,25.25331
548,25.40794
549,12.37975
550,1.070238
551,12.23871
552,27.72793
553,27.72198
554,46.74123
555,46.73108
556,44.84178
557,23.42278
558,23.46461
559,44.84143
560,46.71914
561,24.27986
562,24.32063
563,0.679024
564,7.155857
565,4.69803
566,10.12906
567,7.163868
568,1.209744
569,0.1435664
570,25.38772
571,25.14426
572,25.30365
573,25.43014
574,0.5884585
575,25.28717
576,25.22902
577,2.901178
578,25.26751
579,25.20184
580,24.91739
581,24.87056
582,25.84311
583,25.26756
584,25.46944
585,3.491416
586,5.300359
587,0.2451258
588,21.05506
589,25.4122
590,26.8147
591,21.02139
592,25.41037
593,26.81359
594,25.92376
595,6.093816
596,20.26314
597,21.76889
598,21.77997
599,14.61553
600,19.64838
601,18.28084
602,18.30703
603,0.1587766
604,25.32619
605,25.29714
606,2.508983
607,25.29949
608,25.32779
609,25.40351
610,25.40499
611,24.49415
612,25.39301
613,25.50943
614,25.22228
615,25.41329
616,25.22253
617,25.45315
618,25.1396
619,25.41345
620,25.33131
621,25.69513
622,4.827251
623,7.093915
624,4.312571
625,0.3553568
626,0.1309911
627,24.69837
628,24.69991
629,26.78004
630,26.1438
631,26.14388
632,24.17475
633,26.74502
634,26.74442
635,27.70757
636,26.0626
637,20.93749
638,18.08685
639,21.14951
640,25.22205
641,25.22246
642,28.31426
643,23.14726
644,28.31626
645,25.13485
646,19.52471
647,15.37868
648,0.4501283
649,0.8213482
650,1.950601
651,25.54629
652,3.180809
653,25.58027
654,25.56778
655,25.55757
656,1.158814
657,25.6591
658,25.2317
659,25.19073
660,25.41331
661,25.74768
662,25.5596
663,25.60227
664,25.55998
665,25.30383
666,25.71949
667,25.45186
668,24.32506
669,0.9366284
670,0.04068222
671,24.80449
672,24.79208
673,25.00067
674,24.74517
675,24.71157
676,23.26965
677,24.80335
678,22.58652
679,0.3319469
680,1.074854
681,26.79384
682,26.1363
683,26.46842
684,25.8935
685,26.37812
686,25.88726
687,26.28878
688,26.89448
689,26.89403
690,26.37767
691,25.927
692,25.92695
693,26.06541
694,23.29393
695,28.92752
696,28.92755
697,23.56372
698,24.06349
699,22.56933
700,25.36171
701,26.33742
702,26.33774
703,0.5540582
704,25.57616
705,25.43094
706,25.36911
707,25.70988
708,25.50138
709,10.65057
710,25.50258
711,25.36868
712,25.43063
713,2.003263
714,10.61333
715,10.65485
716,10.65514
717,25.52703
718,24.7533
719,25.72377
720,25.53628
721,25.82969
722,25.51836
723,25.94444
724,25.2028
725,5.828889
726,6.435618
727,1.487771
728,1.74374
729,0.0008801033
730,25.21093
731,23.21627
732,25.06372
733,25.19106
734,25.06451
735,25.14439
736,25.19174
737,25.14472
738,25.46246
739,2.342887
740,25.92369
741,27.2926
742,26.43767
743,27.88883
744,26.60163
745,27.23332
746,27.40081
747,28.72583
748,27.40048
749,26.75042
750,25.478
751,34.15603
752,26.02396
753,29.28604
754,25.56643
755,24.62987
