# Velocities Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
138,2.103743,-0.06731756,4.308618,4.795253
139,2.530187,1.964503,3.647169,4.854169
140,1.596288,0.5073366,4.475546,4.778707
141,2.521015,-3.550748,2.313021,4.930861
142,-0.7660812,-2.139412,4.231078,4.802706
143,1.32661,-0.583285,4.527202,4.753491
144,0.1280572,-3.076276,3.742582,4.846317
145,0.07265433,-0.7595578,4.69431,4.755918
146,0.1444415,-1.045425,4.642767,4.761204
147,0.1988138,-0.07160667,1.685096,1.698294
148,0.05049388,0.07194751,1.475422,1.478038
149,0.4713606,-0.3495409,0.07964157,0.5922014
150,-0.0795484,-0.2748958,1.350105,1.380101
151,-0.02604112,-0.05502043,1.789984,1.791019
152,-0.1475682,0.2250843,1.290075,1.317852
153,0.05206247,0.07437268,1.473096,1.47589
154,2.929092,0.9561322,0.4427544,3.112845
155,2.758475,1.034687,0.5491993,2.996896
156,2.59626,1.040123,0.2917932,2.812039
157,-1.539672,4.702547,-0.7179609,5
158,-2.528392,0.6329368,-4.266922,5
159,4.165489,-0.1342841,2.399198,4.808897
160,-3.501617,2.024174,2.939626,5
161,-0.9653723,-0.5859288,4.870805,5
162,2.8726,2.415974,-3.165402,4.910044
163,4.56413,0.7465595,-1.166571,4.769646
164,-1.425229,3.648705,3.107359,5
165,-0.2222216,0.008671954,1.495101,1.51155
166,-0.0105733,-0.1396139,1.429162,1.436004
167,-0.01398577,-0.1395602,1.429111,1.435977
168,-0.2254002,-0.06662281,1.466216,1.484935
169,0.07525913,-0.360528,1.531945,1.575595
170,-0.1117378,-0.07150326,1.663433,1.668715
171,-0.218473,0.008896517,1.503053,1.518874
172,-0.2454942,0.005179988,1.37452,1.396281
173,-0.4066998,-0.04184177,1.487381,1.542549
174,2.967499,0.9737252,0.5065629,3.163984
175,2.967434,0.9735921,0.5068652,3.163931
176,2.759105,0.9935248,0.4404688,2.965428
177,2.762755,0.9921444,0.4449083,2.969025
178,2.811921,0.7861166,0.2141257,2.92758
179,2.866638,0.8765335,0.2001544,3.004328
180,2.88245,0.6895941,0.2825968,2.977233
181,3.591557,3.47141,-0.2236888,5
182,1.027186,3.84179,3.011902,4.988588
183,0.8301573,4.418489,2.171022,4.992549
184,1.162811,-1.987944,-4.438012,5
185,3.95329,0.7430641,2.969739,5
186,1.261333,2.532457,-4.101686,4.982783
187,-0.5814804,0.01026527,1.602416,1.704688
188,-0.3429357,0.05382976,1.879311,1.911103
189,-0.3354257,-0.09749982,1.672566,1.708652
190,-0.3682871,-0.1536345,1.627524,1.67573
191,-0.3482254,-0.06242001,1.78453,1.819259
192,-0.499755,-0.1216694,1.566022,1.648327
193,-0.09960957,0.03272016,1.746996,1.750139
194,2.842737,0.9942064,0.3011068,3.026593
195,2.875269,0.8568168,0.3658445,3.022441
196,2.866659,0.5929766,0.1043859,2.929207
197,2.611547,0.7254843,0.294346,2.72638
198,3.049796,0.7727726,0.341956,3.164706
199,2.951702,0.7676098,0.4493681,3.082808
200,2.842473,0.9942546,0.301251,3.026376
201,2.833432,0.6563336,0.02238252,2.908541
202,2.671061,0.5960365,0.2744122,2.750478
203,4.818767,0.9917974,-0.8920913,5
204,2.914817,-2.69538,3.039535,5
205,3.620373,-2.62782,1.889831,4.856336
206,1.540422,-0.3317019,4.718127,4.974299
207,1.123225,3.144627,3.703159,4.986351
208,0.03714522,4.481553,-2.21679,4.999985
209,1.510978,0.3206235,-4.729429,4.975274
210,-0.6713323,-0.1631123,1.766932,1.897193
211,-0.4756055,0.148889,2.048141,2.107901
212,-0.107906,0.1736913,1.902201,1.91316
213,-0.3650916,-0.05615979,1.597667,1.639813
214,-0.2661428,0.1561728,1.907021,1.931826
215,-0.1078271,0.1733645,1.902402,1.913326
216,-0.3651456,-0.06097851,1.598775,1.641076
217,-0.5636764,0.04607726,1.621845,1.717625
218,-0.4755542,0.1495327,2.048358,2.108147
219,-0.4044592,-0.04931158,1.711626,1.759455
220,2.76988,0.8529131,0.09296679,2.899713
221,2.775599,0.8542402,0.09305011,2.90557
222,2.963846,0.4939408,0.3357997,3.023429
223,2.712504,0.9702685,0.06811731,2.881621
224,2.524815,0.8108633,0.03078634,2.652007
225,2.708524,0.7821946,-0.03701046,2.819451
226,2.689945,0.2721597,0.508653,2.75111
227,2.482765,0.7260327,0.0172381,2.586802
228,2.516856,0.9778214,-0.2928883,2.715968
229,2.63552,0.8903204,-0.04031657,2.782133
230,2.412496,1.081601,0.007376959,2.643871
231,2.553917,0.6525186,-0.2604273,2.648791
232,2.759377,0.7315191,0.1492465,2.858593
233,2.706068,0.6515026,0.1645738,2.788251
234,0.8293256,3.617483,3.350528,5
235,4.885615,0.9743263,-0.4259758,5
236,2.155606,4.299974,-1.365132,5
237,2.762919,3.467311,2.125874,4.916839
238,2.460521,-3.018824,-3.135688,5
239,1.672629,4.535795,1.151796,4.969684
240,-0.03500435,0.7322583,-0.00652218,0.7331235
241,-0.03471818,0.7318941,-0.005888714,0.7327407
242,-0.04487336,0.9048526,-0.03475695,0.9066311
243,0.3938271,0.8315938,-0.02341489,0.9204326
244,-0.1434435,0.8757212,0.02292511,0.8876875
245,0.2470299,0.99966,-0.01151991,1.029794
246,-1.906674,0.5855355,-4.584947,5
247,2.10601,4.024262,-2.090464,5
248,3.992712,2.665682,-0.4797394,4.824703
249,4.234622,-1.323285,1.838383,4.80237
250,4.394882,-1.888689,-0.1766644,4.786789
251,-0.3590924,0.1300967,1.693919,1.736443
252,-0.0710524,-0.01474689,1.71926,1.72079
253,-0.1078102,0.1434898,1.651131,1.660857
254,0.003044026,0.1045496,1.735483,1.738631
255,0.008689386,-0.1307043,1.71349,1.718489
256,0.1965272,-0.03346368,1.700724,1.712368
257,-0.03116958,0.2602278,1.825102,1.843824
258,-0.2974603,-0.1307636,1.399321,1.436552
259,0.002575293,0.1048766,1.735661,1.738829
260,-0.3523932,0.0791425,1.622216,1.661935
261,0.9252473,4.789532,0.8156271,4.945801
262,2.877237,2.082451,3.51922,5
263,1.63077,2.055161,4.256396,5
264,3.686241,1.063886,3.206208,5
265,3.68591,1.063839,3.206605,5
266,1.355318,0.7815961,0.04728888,1.565252
267,1.413926,1.162051,0.03473939,1.830507
268,1.491919,0.7543557,0.03498776,1.672154
269,1.345506,0.8071241,0.06449047,1.570349
270,1.615003,1.07074,0.05949272,1.938623
271,1.539572,0.8896648,0.07074729,1.779548
272,1.425811,0.7219619,0.06617644,1.599545
273,1.620243,0.6999885,0.07358486,1.766518
274,2.603844,2.067715,3.547529,4.86214
275,0.2038328,-0.4854412,4.723592,4.752844
276,0.8194646,-4.860748,0.7957347,4.993155
277,4.166667,1.751877,-2.137712,5
278,0.3970879,-2.472898,4.109237,4.812352
279,4.168792,2.681136,0.6248932,4.99578
280,1.980465,-1.213817,4.160596,4.765097
281,1.663377,4.186949,1.993581,4.926635
282,2.140576,2.250071,3.662136,4.80168
283,2.133749,2.297451,3.639501,4.803866
284,1.346761,4.775129,0.4340906,4.980367
285,0.4512075,-1.327736,4.559359,4.770139
286,0.9406783,-2.506421,-3.798532,4.647136
287,-3.018674,2.656374,-2.971748,5
288,4.252328,2.156545,0.5599379,4.800678
289,1.353639,4.739976,-0.7087579,4.980165
290,0.1159001,0.02729699,1.613926,1.618312
291,0.004593506,0.2494418,1.810931,1.828035
292,-0.1016056,0.1346459,1.579236,1.588219
293,-0.02285903,0.156194,1.691288,1.698639
294,0.004384036,-0.002469708,1.524232,1.52424
295,0.2207739,-0.01169503,1.463269,1.479877
296,0.1195548,0.02883421,1.611803,1.616488
297,-0.1323928,0.04687334,1.68667,1.692507
298,3.666576,-1.549289,3.025877,5
299,1.054697,3.924414,2.913175,5
300,3.530952,0.2241604,3.533006,5
301,4.21177,1.137053,2.442971,5
302,4.213154,1.135188,2.441451,5
303,-0.9298801,-2.77967,4.050773,5
304,0.4375258,4.807529,-1.294429,4.997931
305,3.060883,0.9011959,3.715734,4.897738
306,2.431091,4.251054,0.616313,4.935738
307,0.01187964,-2.445067,4.361365,5
308,-0.01337546,0.3563163,1.573617,1.613509
309,0.3108843,0.091856,1.601365,1.633847
310,-0.01367173,0.356762,1.573716,1.613707
311,0.1631951,0.1218982,1.732448,1.744382
312,0.1385197,0.3283755,1.624359,1.662997
313,0.3973954,-0.1775938,1.425632,1.4906
314,0.3101936,0.0903825,1.598324,1.630653
315,0.5714978,0.3238681,1.526858,1.662166
316,0.1401449,0.3252307,1.625963,1.664083
317,0.4308715,0.2638574,1.653154,1.728638
318,-0.1437244,1.17212,4.858547,5
319,3.43461,0.1496366,3.630573,5
320,2.446807,1.27369,4.170234,5
321,4.121286,-1.473664,2.417296,5
322,3.550521,-0.09498814,3.519202,5
323,1.194175,-1.67299,4.557965,5
324,4.118211,-1.418117,2.45546,5
325,3.24489,3.010792,2.325041,5
326,0.7949981,4.155035,2.665269,5
327,1.293739,4.455133,1.815822,4.981885
328,3.239732,3.658526,1.057979,5
329,3.271715,2.864035,-2.221887,4.882991
330,0.1305307,3.912984,-3.109611,4.999816
331,0.4000856,3.839295,-3.175288,4.998271
332,0.03611183,3.039013,3.970259,4.999986
333,0.7206479,0.5671104,1.073403,1.411787
334,0.1277445,0.1231396,1.439857,1.450749
335,0.6010959,0.1559877,1.521498,1.643352
336,0.4192657,0.3240578,1.409807,1.506106
337,0.2846117,0.03333439,1.512869,1.539768
338,0.4707796,0.1004449,1.353794,1.43683
339,0.7511796,0.05582974,1.505328,1.683271
340,0.4978157,0.0727369,1.263624,1.360094
341,0.3167776,0.1981401,1.406595,1.455376
342,0.6617024,0.2876111,1.536229,1.697224
343,0.471206,0.09990301,1.354048,1.437172
344,0.2187063,-0.2655222,1.211676,1.25956
345,0.2368156,0.2255064,1.261969,1.303649
346,0.4723489,1.724177,4.669486,5
347,0.6114942,0.01713824,4.879457,4.917654
348,2.807293,-1.5381,3.84101,5
349,2.402867,-3.771309,2.236842,5
350,1.628744,-3.12637,3.545843,5
351,-1.27077,-1.264081,4.667681,5
352,-3.286042,-0.3459611,3.752631,5
353,3.463405,3.520843,-0.7800617,5
354,-0.1731714,-0.1437468,1.431748,1.449329
355,1.867709,3.713278,0.3802587,4.173891
356,1.873739,3.714103,0.3734816,4.176715
357,0.8295459,-3.32152,3.644086,5
358,-1.655971,-4.094813,2.343132,5
359,0.04985401,3.483549,3.586382,4.999973
360,0.07107306,3.375282,3.688072,4.999945
361,0.3842681,4.799325,1.342706,4.998405
362,0.968473,4.852472,0.6436166,4.989857
363,0.4568774,-0.4663168,4.954923,4.997745
364,-0.06167767,0.7432109,0.04313876,0.7470124
365,0.09842736,0.9079605,-0.02894485,0.9137385
366,-0.06185075,0.7431756,-0.03777571,0.7467011
367,4.057976,2.920954,-0.0293269,5
368,0.8095109,4.834019,0.9519224,4.992916
369,0.4142666,-0.1057277,1.018745,1.104824
